CollectionID,Background,Body,Eyes,Mouth,Accessory,InscriptionID
1,black.png,red.png,multicolor.png,yellow.png,orange left.png,10065
2,green.png,black.png,black red.png,blue.png,blue right.png,10066
3,orange.png,black.png,green red.png,black.png,none.png,10067
4,green.png,blue.png,blue red.png,yellow.png,green left.png,10068
5,black.png,orange.png,yellow black black yellow.png,black.png,orange left.png,10069
6,black.png,green.png,orange blue.png,yellow.png,blue right.png,10070
7,yellow.png,black.png,up_and_out black yellow.png,blue.png,blue left.png,10071
8,orange.png,red.png,black yellow.png,green.png,yellow left.png,10072
9,orange.png,orange.png,multicolor.png,green.png,orange right.png,10073
10,yellow.png,yellow.png,yellow green blue.png,orange.png,blue right.png,10074
11,red.png,green.png,orange blue.png,blue.png,orange right.png,10075
12,yellow.png,green.png,blue red.png,red.png,yellow left.png,10076
13,yellow.png,black.png,green yellow.png,black.png,blue right.png,10077
14,yellow.png,black.png,left black yellow.png,red.png,green right.png,10078
15,green.png,green.png,black yellow yellow black.png,black.png,green left.png,10079
16,blue.png,red.png,yellow black black yellow.png,green.png,yellow left.png,10080
17,red.png,blue.png,green red.png,red.png,yellow right.png,10081
18,yellow.png,green.png,orange blue.png,blue.png,yellow right.png,10082
19,yellow.png,black.png,black yellow.png,blue.png,orange right.png,10083
20,red.png,orange.png,down black up red.png,orange.png,blue left.png,10084
21,red.png,orange.png,red blue.png,yellow.png,green left.png,10085
22,green.png,yellow.png,orange yellow.png,orange.png,orange left.png,10086
23,orange.png,red.png,up_and_out black yellow.png,black.png,black left.png,10087
24,red.png,orange.png,red blue.png,blue.png,blue right.png,10088
25,black.png,orange.png,orange blue.png,orange.png,orange left.png,10089
26,red.png,orange.png,green red.png,black.png,orange left.png,10090
27,orange.png,green.png,green yellow.png,yellow.png,black left.png,10091
28,green.png,red.png,yellow blue.png,green.png,blue left.png,10092
29,green.png,black.png,left black yellow.png,green.png,blue right.png,10093
30,black.png,red.png,red blue.png,red.png,yellow right.png,10094
31,red.png,blue.png,red blue.png,green.png,green left.png,10095
32,black.png,black.png,up_and_out black yellow.png,blue.png,yellow right.png,10096
33,red.png,blue.png,green blue.png,red.png,black left.png,10097
34,orange.png,black.png,orange yellow.png,black.png,none.png,10098
35,red.png,green.png,blue red.png,black.png,green left.png,10099
36,orange.png,yellow.png,yellow black black yellow.png,yellow.png,blue left.png,10100
37,orange.png,blue.png,black red.png,yellow.png,green left.png,10101
38,yellow.png,red.png,multicolor.png,green.png,black right.png,10102
39,orange.png,blue.png,black yellow.png,yellow.png,blue left.png,10103
40,orange.png,yellow.png,down black up red.png,blue.png,yellow right.png,10104
41,yellow.png,black.png,green red.png,yellow.png,blue left.png,10105
42,orange.png,blue.png,green blue.png,yellow.png,blue left.png,10106
43,red.png,yellow.png,left black yellow.png,blue.png,red left.png,10107
44,blue.png,green.png,green blue.png,red.png,orange left.png,10108
45,green.png,yellow.png,orange blue.png,black.png,black right.png,10109
46,black.png,black.png,red blue.png,black.png,black left.png,10110
47,red.png,yellow.png,down black up red.png,yellow.png,green right.png,10111
48,red.png,yellow.png,orange blue.png,blue.png,green right.png,10112
49,green.png,black.png,up_and_out black yellow.png,black.png,blue left.png,10113
50,green.png,red.png,red blue.png,blue.png,yellow right.png,10114
51,orange.png,red.png,down black up red.png,yellow.png,orange right.png,10115
52,yellow.png,yellow.png,blue red.png,green.png,blue right.png,10116
53,red.png,green.png,up_and_out black yellow.png,black.png,blue left.png,10117
54,orange.png,black.png,down black up red.png,yellow.png,orange left.png,10118
55,blue.png,black.png,yellow black black yellow.png,green.png,none.png,10119
56,blue.png,red.png,down black up red.png,blue.png,red left.png,10120
57,orange.png,black.png,blue red.png,orange.png,yellow right.png,10121
58,green.png,black.png,orange yellow.png,blue.png,red left.png,10122
59,yellow.png,orange.png,orange blue.png,orange.png,blue left.png,10123
60,red.png,green.png,orange yellow.png,black.png,yellow left.png,10124
61,green.png,orange.png,down black up red.png,red.png,blue left.png,10125
62,black.png,red.png,yellow green blue.png,orange.png,orange left.png,10126
63,yellow.png,green.png,yellow green blue.png,black.png,red left.png,10127
64,green.png,orange.png,left black yellow.png,orange.png,yellow right.png,10128
65,green.png,blue.png,up_and_out black yellow.png,blue.png,orange left.png,10129
66,orange.png,red.png,green red.png,black.png,blue left.png,10130
67,yellow.png,black.png,yellow blue.png,blue.png,none.png,10131
68,red.png,yellow.png,left black yellow.png,yellow.png,yellow right.png,10132
69,yellow.png,orange.png,black yellow yellow black.png,green.png,yellow right.png,10133
70,green.png,black.png,yellow blue.png,black.png,orange left.png,10134
71,green.png,yellow.png,down black up red.png,red.png,black left.png,10135
72,orange.png,green.png,green red.png,blue.png,green left.png,10136
73,black.png,orange.png,blue red.png,orange.png,green right.png,10137
74,orange.png,yellow.png,yellow green blue.png,blue.png,blue left.png,10138
75,orange.png,orange.png,multicolor.png,green.png,none.png,10139
76,orange.png,orange.png,left black yellow.png,black.png,orange left.png,10140
77,black.png,green.png,black red.png,red.png,green left.png,10141
78,yellow.png,blue.png,blue red.png,black.png,none.png,10142
79,red.png,orange.png,yellow green blue.png,green.png,green right.png,10143
80,red.png,green.png,yellow green blue.png,black.png,orange left.png,10144
81,green.png,black.png,down black up red.png,black.png,black left.png,10145
82,yellow.png,green.png,black yellow.png,orange.png,blue left.png,10146
83,green.png,red.png,yellow black black yellow.png,black.png,yellow left.png,10147
84,orange.png,blue.png,yellow green blue.png,blue.png,black left.png,10148
85,black.png,red.png,blue red.png,red.png,red left.png,10149
86,blue.png,black.png,black yellow yellow black.png,blue.png,black left.png,10150
87,black.png,blue.png,down black up red.png,green.png,green left.png,10151
88,red.png,yellow.png,yellow green blue.png,black.png,orange left.png,10152
89,green.png,blue.png,green yellow.png,blue.png,yellow left.png,10153
90,orange.png,blue.png,left black yellow.png,orange.png,green right.png,10154
91,yellow.png,orange.png,yellow black black yellow.png,green.png,yellow left.png,10155
92,yellow.png,red.png,multicolor.png,red.png,none.png,10156
93,blue.png,black.png,orange yellow.png,green.png,yellow left.png,10157
94,blue.png,yellow.png,orange yellow.png,black.png,green left.png,10158
